"index","Research_Method","Continent","hypothesis","support_for_hypothesis","Number_of_species","type_of_experiment","has_research_problem","Study_date","study","publication","Habitat","Investigated_species","same_as","Measure_of_resistance/susceptibility","Measure_of_invasion_success","Measure_of_species_similarity","Measure_of_species_relationship","WOS_search_or_Cited_references","Specific_traits","Species_name","Phenotypic_plasticity_form","Measure_of_disturbance","Type_of_disturbance","Direct_anthropogenic_dist.?","Measure_of_propagule_pressure","Type_of_interaction","Type_of_effect_description","Ecological_Level_of_evidence","Outcome_of_interaction","Transition_in_the_invasion_process","Observed_proportion_of_species_making_the_transition","Measure_of_native_biodiversity","Sub-hypothesis","Which_species_are_compared?","Indicator_for_enemy_release","Release_of_which_kind_of_enemies?","Title","DOI","Abstract"
"Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan/Contribution 1","Observational or correlational","Asia","Disturbance","Supported",13,"Field","Testing the disturbance hypothesis in invasion biology",2009,"





Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan/Contribution 1","Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan","Terrestrial","Plants",NA,NA,"Number of exotic species",NA,NA,NA,NA,NA,NA,"different levels of anthropogenic activities, distance to roads ( e.g. recreation areas, conservation area)  (national park)","Others","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan","None","Nature preserves in the national parks are usually adjacent to the recreation areas, where most of the tourists visit. Although permits are required and only few small trials are available to enter the preserves, species naturalized in the neighboring recreation areas may hitchhike across the borders. To estimate the differences of plant invasions in neighboring preserves and recreation areas experiencing different intensity of anthropogenic activities, we employed Wuling district (alt. 1,800-3,860 m), Shei-Pa National Park in Taiwan as our study site. Our hypotheses were: (1) the recreation areas harbor more naturalized species, and plant invasion patterns are different in these areas under various land management strategies; (2) species inhabiting the preserves could be found in the recreation areas as well; (3) naturalized species of temperate origins are dominant due to the temperate weather in the mountains. Total of 230 quadrats in one meter square quadrats were randomly selected along the roads and trails in both areas. Naturalized species, relative cover, elevation, and naturalness degree were obtained and analyzed. The results showed that the naturalized species in both areas were herbaceous, originating from tropical and temperate Americas and Europe. Naturalized floras of these two areas were presented by analogous dominant families, Asteraceae and Poaceae, and dominant species, Bromus catharticus and Trifolium repens. However, the number and coverage of naturalized species, a diversity, elevation, and naturalness degree, suggested different patterns of plant invasions of these two areas. Recreation areas accommodated significantly more naturalized species and higher coverage, and elevation was responsible for distinct patterns of plant invasions. Both of the preserves and recreation areas in Wuling provided suitable habitats for similar naturalized floras; however, relatively more species harbored by the later implied a source and sink relationships between these two areas. Furthermore, environmental factors that change with the elevation, such as temperature, topography, and native vegetation, may contribute to different patterns of plant invasions presented by preserves and the recreation areas in the subtropical mountains."
"'The rich get richer' concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)/Contribution 1","Observational or correlational","Europe","Biotic resistence","Questioned",116,"Field","Testing the biotic resistence hypothesis in invasion biology",2015,"""The rich get richer"" concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)/Contribution 1","'The rich get richer' concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)","Terrestrial","Plants","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Number of exotic species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native species",NA,NA,NA,NA,"'The rich get richer' concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)","10.1016/j.ufug.2014.12.003","Riparian ecosystems are one of the most invasible habitats due to frequent disturbances and high resource availability, creating conditions for pioneer species. In urban areas, richer in alien species than other areas, the risk of invasion is higher than elsewhere. The richness of both alien and native woody plants in urban riparian areas allows examination of the relationship between native and alien species richness, which has not been previously done for woody species as a separate guild. The aims of study were to compare current flora of woody species to that from the 1980s and to test whether the hypothesis of biotic acceptance can explain richness of alien woody species. The study was conducted in the Warta River Valley in Poznan city (Poland). During field work we compiled lists of woody species in 31 grid squares (1 km x 1 km). Regression analysis was used to examine the relationship between number of native and alien woody plant species. From the 1980s to 2013, the number of woody species increased from 76 to 116. The share of alien species also increased from 29.3% to 45.7%. We found a positive relationship between richness of alien and native woody species, which explains 46% of variance. The abundance of the most successful invaders is connected with high initial propagule pressure from the high number of alien ornamental species in urban green areas. The positive relationship between number of native and alien woody species shows the wider base of ""the rich get richer"" concept, so treated separately, woody species may be determinants of dynamic processes in vegetation. Due to recent manifestations of invasive potential of some species, their invasion probability may be underestimated. Therefore, alien species should be avoided in urban green areas near natural and semi-natural urban forests, especially riparian forests, which are vulnerable to biological invasion. (C) 2014 Elsevier GmbH. All rights reserved."
"A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus/Contribution 1","Observational or correlational","['Africa', 'Oceania']","Enemy release","Supported",1,"Field","Testing the enemy release hypothesis in invasion biology",2016,"A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus/Contribution 1","A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus","Freshwater","Fishes","['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAI","Aliens in native and invaded range","Infestation","no differentiation","A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus","10.1007/s00436-016-5168-1","This study investigates the recent evolution of a rich parasite community associated with one of the world's most invasive species, the cichlid fish Oreochromis mossambicus. Populations from the species' native range (Mozambique) are compared to a population from New Caledonia (Wester Pacific), an island where the species was introduced in 1954. The results support the complete local extinction of the gill parasite community in the course of the invasion process. Up to six gill parasite species per locality were documented in the O. mossambicus native range, and previous surveys consistently reported at least one parasite species introduced along African cichlid species established out of Africa. The absence of parasites in New Caledonia is therefore exceptional. This can be attributed to local factors, such as a strong initial population bottleneck, the likely absence of multiple host introductions, and the frequent occurrence of brackish watersheds that might enhance the probability for natural deparasitation."
"A comparative analysis of the relative success of introduced land birds on islands/Contribution","Observational or correlational","All continents except Antarctica","Island susceptibility","Supported",416,"Field","Testing the island susceptibility hypothesis in invasion biology",2003,"A comparative analysis of the relative success of introduced land birds on islands/Contribution","A comparative analysis of the relative success of introduced land birds on islands","Terrestrial","Birds",NA,"Establishment success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A comparative analysis of the relative success of introduced land birds on islands","None","It has been suggested that more species have been successfully introduced to oceanic islands than to mainland regions. This suggestion has attracted considerable ecological interest and several theoretical mechanisms have been proposed. However, few data are available to test the hypotheses directly, and the pattern may simply result from many more species being transported to islands rather than mainland regions. Here I test this idea using data for global land birds and present evidence that introductions to islands have a higher probability of success than those to mainland regions. This difference between island and mainland landforms is not consistent among either taxonomic families or biogeographic regions. Instead, introduction attempts within the same biogeographic region have been significantly more successful than those that have occurred between two different biogeographic regions. Subsequently, the proportion of introduction attempts that have occurred within a single biogeographic region is thus a significant predictor of the observed variability in introduction success. I also show that the correlates of successful island introductions are probably different to those of successful mainland introductions."
"A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis/Contribution 1","Observational or correlational","North-America","Enemy release","Supported",3,"Field","Testing the enemy release hypothesis in invasion biology",2016,"A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis/Contribution 1","A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Aliens and natives","Damage","no differentiation","A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis","10.2179/15-069","One explanation for the success of exotic plants in their introduced habitats is that, upon arriving to a new continent, plants escaped their native herbivores or pathogens, resulting in less damage and lower abundance of enemies than closely related native species (enemy release hypothesis). We tested whether the three exotic plant species, Rubus phoenicolasius (wineberry), Fallopia japonica (Japanese knotweed), and Persicaria perfoliata (mile-a-minute weed), suffered less herbivory or pathogen attack than native species by comparing leaf damage and invertebrate herbivore abundance and diversity on the invasive species and their native congeners. Fallopia japonica and R. phoenicolasius received less leaf damage than their native congeners, and F. japonica also contained a lower diversity and abundance of invertebrate herbivores. If the observed decrease in damage experienced by these two plant species contributes to increased fitness, then escape from enemies may provide at least a partial explanation for their invasiveness. However, P. perfoliata actually received greater leaf damage than its native congener. Rhinoncomimus latipes, a weevil previously introduced in the United States as a biological control for P. perfoliata, accounted for the greatest abundance of insects collected from P. perfoliata. Therefore, it is likely that the biocontrol R. latipes was responsible for the greater damage on P. perfoliata, suggesting this insect may be effective at controlling P. perfoliata populations if its growth and reproduction is affected by the increased herbivore damage."
"A comparison of native and introduced populations of the South African Ragwort Senecio inaequidens DC. in the field/Contribution 1","Observational or correlational","['Africa', 'Europe']","Enemy release","Supported",1,"Field","Testing the enemy release hypothesis in invasion biology",2004,"A comparison of native and introduced populations of the South African Ragwort Senecio inaequidens DC. in the field/Contribution 1","A comparison of native and introduced populations of the South African Ragwort Senecio inaequidens DC. in the field","Terrestrial","Plants","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAI","Aliens in native and invaded range","Infestation","no differentiation","A comparison of native and introduced populations of the South African Ragwort Senecio inaequidens DC. in the field","None","Two hypotheses that have been put forward to explain the success of invasive plants, the enemy release hypothesis and the evolution of increased ability (EICA) hypothesis, are based on observations of greater vigour of invasive plants in their range. In this study, we found support for this phenomenon in field populations of the invasive South African Ragwort, Senecio inaequidens: In the introduced range, plants were individually larger and built up larger populations than in the native range. Moreover, invasive populations showed a reduced incidence of parasitizing insects suggesting that enemy release may play a role in the success of this invader. We also found that among-population variation in seed mass was significantly reduced in European population, implying that the species underwent a population bottleneck when introduced to Europe. These first results will serve as a starting point for further studies on the influence of herbivory in this invasive species."
"A comparison of the urban flora of different phytoclimatic regions in Italy/Contribution 1","Observational or correlational","Europe","Disturbance","Questioned",201,"Field","Testing the disturbance hypothesis in invasion biology",1998,"A comparison of the urban flora of different phytoclimatic regions in Italy/Contribution 1","A comparison of the urban flora of different phytoclimatic regions in Italy","Terrestrial","Plants",NA,NA,"Number of exotic species",NA,NA,NA,NA,NA,NA,"urban environment in cities - The different habitat types are indicated: S, semi-natural; F, fallow; P, park; A, archaeological site; D, dumping site; I, industrial site; Y, recent housing development; R, residential area; O, old town centre; H, heavily disturbed site.","Urbanization","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A comparison of the urban flora of different phytoclimatic regions in Italy","10.1046/j.1466-822x.1998.00304.x","This study is a comparison of the spontaneous vascular flora of five Italian cities: Milan, Ancona, Rome, Cagliari and Palermo. The aims of the study are to test the hypothesis that urbanization results in uniformity of urban floras, and to evaluate the role of alien species in the flora of settlements located in different phytoclimatic regions. To obtain comparable data, ten plots of 1 ha, each representing typical urban habitats, were analysed in each city. The results indicate a low floristic similarity between the cities, while the strongest similarity appears within each city and between each city and the seminatural vegetation of the surrounding region. In the Mediterranean settlements, even the most urbanized plots reflect the characters of the surrounding landscape and are rich in native species, while aliens are relatively few. These results differ from the reported uniformity and the high proportion of aliens which generally characterize urban floras elsewhere. To explain this trend the importance of apophytes (indigenous plants expanding into man-made habitats) is highlighted; several Mediterranean species adapted to disturbance (i.e. grazing, trampling, and human activities) are pre-adapted to the urban environment. In addition, consideration is given to the minor role played by the 'urban heat island' in the Mediterranean basin, and to the structure and history of several Italian settlements, where ancient walls, ruins and archaeological sites in the periphery as well as in the historical centres act as conservative habitats and provide connection with seed-sources on the outskirts."
"A comparison of univariate and multivariate methods for analyzing clinal variation in an invasive species/Contribution 1","Experimental","North America","Phenotypic plasticity","Undecided",1,"Enclosure","Testing the phenotypic plasticity hypothesis in invasion biology",2011,"A comparison of univariate and multivariate methods for analyzing clinal variation in an invasive species/Contribution 1","A comparison of univariate and multivariate methods for analyzing clinal variation in an invasive species","Terrestrial","Plants",NA,NA,NA,NA,NA,NA,"Life-history characteristics: time to flowering- plant size at time of flowering (plant height)- total plant mass","Lythrum salicaria L.","Life history: age of first reproduction- fecundity;Morphology: body size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A comparison of univariate and multivariate methods for analyzing clinal variation in an invasive species","10.1007/s10750-011-0732-2","The evolution of clinal variation has become a topic widely studied for invasive species. Most studies of this kind have found significant correlations between latitude and various plant traits, usually using univariate analytic methods. However, plants are composed of multiple, interacting traits, and it is this correlation among traits that can affect how quickly or even whether the populations of invasive plants adapt to their local climatic conditions. We used data from a common garden experiment to determine the possible formation of latitudinal clines in invasive North American populations of Lythrum salicaria L. (purple loosestrife) from the central portion of its invasive range. Analyses were conducted using the more common univariate approach (nested and oneway ANOVAs; linear regression) on individual plant traits (e.g., time to flowering, plant height, various mass measures, and growth rate) and then a multivariate approach (principle components analysis followed by redundancy analysis). Significant among-population differences (P < 0.01) were noted when using both the nested and oneway ANOVAs, and multivariate techniques. However, there were no significant relationships between individual plants traits to latitude when using linear regressions, most likely as a result of the small number of populations used in the study (n = 4). On the contrary, the multivariate analyses showed a significant effect of latitude (P < 0.001) on the invasive populations, but this explained only 4% of the variance; latitude explained 8% of the variance when both invasive and native populations were analyzed. Because of the integrated nature of plant phenotypes, a multivariate approach should provide a clearer and deeper understanding of population responses to changing conditions than univariate techniques."
"A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe/Contribution 1","Observational or correlational","['Europe', 'North-America']","Enemy release","Supported",1,"Field","Testing the enemy release hypothesis in invasion biology",2009,"A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe/Contribution 1","A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe","Terrestrial","Plants","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAD","Aliens in native and invaded range","Damage","no differentiation","A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe","10.1007/s10530-008-9312-4","Acer platanoides (Norway maple) is a widespread native tree species in Europe. It has been introduced to North America where it has often established dense stands in both secondary woodlands and relatively undisturbed mature woodlands. In Europe A. platanoides is also extending its original range, but generally seems to exist at much lower densities. One explanation for the 'aggressiveness' of invasive plants such as A. platanoides is that they have left behind pests and diseases which limit their population densities in their native lands (the enemy release hypothesis or ERH). To assess the ERH for Norway maple, a large network of collaborators assessed leaf herbivory rates in populations throughout Europe and North America. We found significantly lower total leaf herbivory (1.6% +/- A 0.19, n = 21 vs. 7.4% +/- A 1.94, n = 34) and lower fungal damage (1.0% +/- A 0.35, n = 13 vs. 3.7% +/- A 0.85, n = 34) in North America than in Europe over a 2 year period, which is consistent with the predictions of the Enemy Release Hypothesis. Across years, the average total leaf herbivory was significantly correlated with average annual temperature of the site (P < 0.05), although this was mostly due to sites in Europe (P < 0.001), and not sites in North America (P > 0.05). Furthermore, only populations in Europe showed very high levels of herbivory (e.g., nine sites had total leaf herbivory ranging from 10.0 to 51.2% in at least 1 year) or leaf fungal damage (only one site in North America showed high levels of fungal damage in 1 year), suggesting the possibility of more frequent episodic outbreaks in the native range. Leaf herbivory and fungal damage are only two aspects of consumer pressure and we do not know whether the differences reported here are enough to actually elicit release from top-down population control, but such large scale biogeographic differences in herbivory contribute towards understanding exotic invasions."
"A fast-track for invasion: invasive plants promote the performance of na invasive herbivore/Contribution 1","Experimental","North America","Invasional meltdown","Supported",7,"Lab","Testing the invasional meltdown hypothesis in invasion biology",2013,"A fast-track for invasion: invasive plants promote the performance of na invasive herbivore/Contribution 1","A fast-track for invasion: invasive plants promote the performance of na invasive herbivore","Terrestrial","Plants;Inscets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","greater survival and weight of a herbivore in a invasive plant compared to native","Individual","Survival, Growth and or Reproduction",NA,NA,NA,NA,NA,NA,NA,"A fast-track for invasion: invasive plants promote the performance of an invasive herbivore","10.1007/s10530-012-0271-4","With the greater frequency of biological invasions worldwide there is an increased likelihood that exotic species will interact with each other, and such interactions could enhance one another's invasion potential. Although direct and indirect interactions between exotic species have been well documented for plant-herbivore interactions, the majority of studies have focused on a single interaction and on plant rather than herbivore performance. In this study we investigated whether invasive exotic plants could contribute to the invasion of California by an exotic generalist herbivore (Epiphyas postvittana). We tested this expectation in the greenhouse by monitoring the performance of larval and pupal stages of E. postvittana on six pairs of congeneric invasive and native plants. Larval survivorship and pupal weight of E. postvittana were both greater on the invasive species, and larval development time was shorter on the invasive plant species for two of the plant genera. Our results suggest that prior invasion of exotic plants could function as a catalyst for the subsequent invasion of an exotic insect herbivore, at least in the case where they have shared some history, thereby accelerating the invasion process and expansion of its novel geographic range."
